code,name,market,exchange,industry,is_st,listing_date,total_market_cap,free_float_market_cap,latest_price,amount,pe_ttm,pb,is_suspended,is_penny_stock,is_biotech_w,is_profitable_biotech,avg_turnover_20d,effective_trade_days_30d,has_financial_history,consecutive_losses,long_negative_ocf,has_quality_financials,roe,gross_margin,net_margin,debt_asset_ratio,ocf_to_net_profit,has_growth_history,revenue_cagr,net_profit_cagr,valuation_industry,dividend_yield,fcf_yield,pe_percentile,pb_percentile,industry_dividend_median,industry_dividend_count
000598,兴蓉环境,CN,SZSE,D 水电煤气,False,1996-05-29T00:00:00.000,21036098233.05,21033514231.8,7.05,68474898.0,10.48,1.049,False,False,False,True,68474898.0,20.0,True,False,False,True,0.106,0.4411378689,0.221117411,0.5808908915,1.8457098739,True,0.1103208407,0.0907863228,D 水电煤气,0.0343859649,0.175919982,0.2068965517,0.2413793103,0.0186440678,7
000729,燕京啤酒,CN,SZSE,C 制造业,False,1997-07-16T00:00:00.000,30383854095.98,27053559870.26,10.78,218862727.0,18.087,1.8,False,False,False,True,218862727.0,20.0,True,False,False,True,0.1107,0.4356044161,0.1095101614,0.2947095032,1.6209906224,True,0.0700747952,0.5352482516,C 制造业,0.0092764378,0.0895815602,0.3284287966,0.2301629007,0.0079668585,88
000791,甘肃能源,CN,SZSE,D 水电煤气,False,1997-10-14T00:00:00.000,22869070181.1,13646207616.300001,7.05,91737155.0,11.148,1.508,False,False,False,True,91737155.0,20.0,True,False,False,True,0.144,0.4165256488,0.2262951569,0.5235109106,2.5112424529,True,0.3196734661,0.3592790156,D 水电煤气,0.0256124722,0.2252693764,0.2413793103,0.5,0.0186440678,7
000848,承德露露,CN,SZSE,C 制造业,False,1997-11-13T00:00:00.000,8221200596.440001,8145549436.44,8.06,117086580.0,13.433,2.549,False,False,False,True,117086580.0,20.0,True,False,False,True,0.1778,0.4474015066,0.1976031257,0.3427759666,1.6142188417,True,0.1126960593,0.0772916627,C 制造业,0.0582072177,0.1231308687,0.274303731,0.4382553862,0.0079668585,88
000915,华特达因,CN,SZSE,C 制造业,False,1999-06-09T00:00:00.000,5616925695.45,5611924954.200001,23.97,46964448.0,10.513,2.147,False,False,False,True,46964448.0,20.0,True,False,False,True,0.1829,0.8511081414,0.2401209455,0.1295371794,2.3763129372,True,0.0412007603,0.1297391169,C 制造业,0.0706464147,0.2263734166,0.2433000525,0.3373620599,0.0079668585,88
000999,华润三九,CN,SZSE,C 制造业,False,2000-03-09T00:00:00.000,38926055698.62,38887297369.29,23.39,170082874.0,11.354,1.705,False,False,False,True,170082874.0,20.0,True,False,False,True,0.1607,0.5402999231,0.1082507021,0.3457646401,1.6115407437,True,0.183039074,0.1645095671,C 制造业,0.0177426251,0.1416296293,0.2527588019,0.2065160273,0.0079668585,88
001286,陕西能源,CN,SZSE,D 水电煤气,False,2023-04-10T00:00:00.000,35362500000.0,12730500000.0,9.43,105115840.0,11.788,1.332,False,False,False,True,105115840.0,20.0,True,False,False,True,0.1182,0.3677524469,0.1310871185,0.5453014856,2.9874811849,True,0.1878133982,0.3224439523,D 水电煤气,0.0375457875,0.2542473263,0.2586206897,0.4137931034,0.0186440678,7
002020,京新药业,CN,SZSE,C 制造业,False,2004-07-15T00:00:00.000,9686577825.0,8144643768.75,11.25,174554513.0,12.228,1.614,False,False,False,True,174554513.0,20.0,True,False,False,True,0.1328,0.5014866406,0.1862649593,0.2773749262,1.0308288489,True,0.0454734886,0.0302426165,C 制造业,0.0277777778,0.0806628602,0.2616920652,0.1749868628,0.0079668585,88
002128,电投能源,CN,SZSE,B 采矿业,False,2007-04-18T00:00:00.000,86978592031.76,62360574575.26,27.82,307734257.0,11.496,1.646,False,False,False,True,307734257.0,20.0,True,False,False,True,0.1494,0.3683414782,0.1799467607,0.348983684,1.6990825472,True,0.0845011017,0.2121579811,B 采矿业,0.033101622,0.1058591507,0.1666666667,0.2666666667,0.0083528233,5
002130,沃尔核材,CN,SZSE,C 制造业,False,2007-04-20T00:00:00.000,22524187654.58,18575935715.81,16.09,374771192.0,17.489,2.45,False,False,False,True,374771192.0,20.0,True,False,False,True,0.1905,0.3165310693,0.1353584577,0.4476402896,1.014148428,True,0.1559314126,0.2364886447,C 制造业,0.0095320624,0.0515025154,0.3205465055,0.4193378875,0.0079668585,88
002170,芭田股份,CN,SZSE,C 制造业,False,2007-09-19T00:00:00.000,10398588811.0,8456308547.0,10.7,99064043.0,11.336,2.713,False,False,False,True,99064043.0,20.0,True,False,False,True,0.2593,0.3562476543,0.1802668285,0.3514156434,1.6161926719,True,0.1891494519,0.6376560475,C 制造业,0.017809439,0.1416727172,0.2522333158,0.4687335786,0.0079668585,88
002262,恩华药业,CN,SZSE,C 制造业,False,2008-07-23T00:00:00.000,21434475310.68,18700706613.8,21.16,172171440.0,20.152,2.554,False,False,False,True,172171440.0,20.0,True,False,False,True,0.1388,0.7212716929,0.17887,0.1296005454,1.0199136661,True,0.1195240363,0.0772542354,C 制造业,0.0197433366,0.0503109939,0.359432475,0.4387808723,0.0079668585,88
002287,奇正藏药,CN,SZSE,C 制造业,False,2009-08-28T00:00:00.000,11087650774.14,11065782227.099998,19.38,32206458.0,16.245,2.175,False,False,False,True,32206458.0,20.0,True,False,False,True,0.1468,0.8305169715,0.2683866456,0.277704087,1.1253455843,True,0.1022270652,0.0992692689,C 制造业,0.0115346038,0.0658122005,0.3058328954,0.3457698371,0.0079668585,88
002444,巨星科技,CN,SZSE,C 制造业,False,2010-07-13T00:00:00.000,32585364804.96,31294483279.84,27.28,194388826.0,12.984,1.692,False,False,False,True,194388826.0,20.0,True,False,False,True,0.1416,0.3271916382,0.1711214098,0.1897059232,0.9204069843,True,0.1141081835,0.1320084723,C 制造业,0.0109970674,0.0708895307,0.2700998424,0.2028376248,0.0079668585,88
002558,巨人网络,CN,SZSE,I 信息技术,False,2011-03-02T00:00:00.000,44891273755.02,44891096605.02,23.62,763051176.0,25.128,2.668,False,False,False,True,763051176.0,20.0,True,False,False,True,0.1245,0.9103330034,0.3476084045,0.1866990754,1.7013857745,True,0.1788231427,0.1126220485,I 信息技术,0.032271077,0.0664963416,0.4621848739,0.3193277311,0.0073719299,10
002611,东方精工,CN,SZSE,C 制造业,False,2011-08-30T00:00:00.000,17577608511.52,14497217056.0,14.44,455410679.0,23.672,1.855,False,False,False,True,455410679.0,20.0,True,False,False,True,0.1339,0.2736130928,0.138711705,0.3084668302,1.2053819194,True,0.1238555107,0.132578752,C 制造业,0.0123839009,0.0497345444,0.4114555964,0.2433000525,0.0079668585,88
002632,道明光学,CN,SZSE,C 制造业,False,2011-11-22T00:00:00.000,5989905273.1,5509584570.49,9.59,125661072.0,27.4,2.763,False,False,False,True,125661072.0,20.0,True,False,False,True,0.1022,0.3395833966,0.1486087975,0.2345438019,2.0239352801,True,0.0332463008,0.0554835219,C 制造业,0.0145797599,0.0748914026,0.4519180242,0.4844981608,0.0079668585,88
002833,弘亚数控,CN,SZSE,C 制造业,False,2016-12-28T00:00:00.000,7860556152.88,5368980258.56,18.32,52562082.0,18.139,2.677,False,False,False,True,52562082.0,20.0,True,False,False,True,0.1481,0.3211821155,0.177277808,0.296946955,1.444093536,True,0.0753251489,0.040872038,C 制造业,0.0158646219,0.0791043064,0.3289542827,0.4613767735,0.0079668585,88
002967,广电计量,CN,SZSE,M 科研服务,False,2019-11-08T00:00:00.000,11583539062.72,10982246912.85,18.11,198365853.0,23.829,2.363,False,False,False,True,198365853.0,20.0,True,False,False,True,0.1219,0.46838968,0.1178154552,0.4462976853,2.2419963061,True,0.1438243745,0.1252202632,M 科研服务,0.0087209302,0.0821692387,0.3880597015,0.328358209,0.0064935065,5
300002,神州泰岳,CN,SZSE,I 信息技术,False,2009-10-30T00:00:00.000,15698047450.679998,14771371442.94,7.98,147191309.0,19.525,1.993,False,False,False,True,147191309.0,20.0,True,False,False,True,0.1094,0.5771148976,0.1376972657,0.1264972039,1.4242297548,True,0.1011274398,0.1794579852,I 信息技术,0.0079365079,0.072718104,0.4327731092,0.1386554622,0.0073719299,10
300015,爱尔眼科,CN,SZSE,Q 卫生,False,2009-10-30T00:00:00.000,73559557045.94,62946928156.28,7.91,316467003.0,22.626,3.195,False,False,False,True,316467003.0,20.0,True,False,False,True,0.1497,0.4711349397,0.144961158,0.3620250806,1.8432868026,True,0.1341374758,0.1345360846,Q 卫生,0.0110987791,0.0811958058,0.3571428571,0.5,0.0110987791,1
300043,星辉娱乐,CN,SZSE,I 信息技术,False,2010-01-20T00:00:00.000,5412263044.35,5409396829.35,4.35,67704856.0,18.125,3.131,False,False,False,True,67704856.0,20.0,True,False,False,True,0.189,0.5763140914,0.1441346485,0.3728089405,1.7890934438,True,0.0372391141,0.6324632316,I 信息技术,0.0118483412,0.0996960518,0.4159663866,0.4579831933,0.0073719299,10
300130,新国都,CN,SZSE,C 制造业,False,2010-10-19T00:00:00.000,10154767268.6,7778340625.099999,17.9,98563811.0,21.566,2.246,False,False,False,True,98563811.0,20.0,True,False,False,True,0.108,0.3435655744,0.1474307376,0.2835774497,0.8651312574,True,0.0385168217,0.4021454733,C 制造业,0.0125,0.0399404833,0.3778244877,0.3688912244,0.0079668585,88
300360,炬华科技,CN,SZSE,C 制造业,False,2014-01-21T00:00:00.000,5717760841.12,5563434823.440001,11.12,32887073.0,10.109,1.368,False,False,False,True,32887073.0,20.0,True,False,False,True,0.1362,0.4310047044,0.3359794607,0.1529817718,0.8946670924,True,0.0898907628,0.140812303,C 制造业,0.0203389831,0.0886874632,0.2422490804,0.1066736731,0.0079668585,88
300641,正丹股份,CN,SZSE,C 制造业,False,2017-04-18T00:00:00.000,7052811350.200001,7052763038.200001,13.42,38180832.0,9.868,2.215,False,False,False,True,38180832.0,20.0,True,False,False,True,0.2348,0.380968374,0.3117809311,0.0392229923,1.5544965116,True,0.1169199344,0.7541522421,C 制造业,0.0257864879,0.1574013963,0.2417235943,0.359432475,0.0079668585,88
300705,九典制药,CN,SZSE,C 制造业,False,2017-10-10T00:00:00.000,5383133247.44,3980622790.56,10.76,51941246.0,11.208,2.106,False,False,False,True,51941246.0,20.0,True,False,False,True,0.1804,0.7294405354,0.1519875309,0.3067077209,1.3685128317,True,0.2603620401,0.4187350983,C 制造业,0.0330305533,0.1202009196,0.2511823437,0.3258013663,0.0079668585,88
300910,瑞丰新材,CN,SZSE,C 制造业,False,2020-11-27T00:00:00.000,10614101495.67,7433931008.099999,27.71,101455365.0,11.084,2.797,False,False,False,True,101455365.0,20.0,True,False,False,True,0.2099,0.3460148843,0.2098976453,0.2447335569,1.0141347553,True,0.3244464177,0.3212833581,C 制造业,0.0328587076,0.070359404,0.2501313715,0.4908039937,0.0079668585,88
301061,匠心家居,CN,SZSE,C 制造业,False,2021-09-13T00:00:00.000,11958919963.05,7940707534.799999,42.05,201953402.0,10.673,2.742,False,False,False,True,201953402.0,20.0,True,False,False,True,0.2196,0.3929009176,0.2537605129,0.2250891437,0.9200481402,True,0.2071690348,0.3305709343,C 制造业,0.011327594,0.0659693788,0.2448765108,0.4771413558,0.0079668585,88
